,English,Spanish
833,toms fat,Tom está gordo.
834,toms mad,Tom está loco.
835,toms sad,Tom está triste.
836,toms shy,Tom es tímido.
837,trust tom,Confía en Tom.
838,try again,Inténtalo de nuevo.
839,try again,Intentadlo otra vez.
840,try again,Intenta otra vez.
841,try on,Pruébatelo.
842,wait here,Espera aquí.
843,wait here,Aguarda aquí.
844,wait here,Esperen aquí.
845,wait here,Esperad aquí.
846,watch tom,Vigila a Tom.
847,watch out,¡Abusado!
853,forget,Nos olvidamos.
854,saw it,Lo vimos.
855,saw it,Lo veíamos.
858,well see,Después veremos.
859,well see,Ya veremos.
860,well try,Lo intentaremos.
861,weve win,¡Hemos ganado!
862,whats up,¿Qué hay?
867,stand,¿Quién se quedó?
868,wholl go,¿Quién irá?
869,whos tom,¿Quién es Tom?
870,write tom,Escribe a Tom.
871,drive,Tú maneja.
872,start,Tú empieza.
876,aim higher,Más alto.
877,aim higher,Apuntad más alto.
878,aboard,¡Todos a bordo!
879,right,¿Tengo razón?
880,wrong,¿Me equivoco?
881,wrong,¿Estoy equivocada?
882,answer tom,¡Respóndale a Tomás!
883,answer tom,¡Respondele a Tomás!
884,answer tom,¡Respóndanle a Tomás!
891,ask anyone,Pregúntale a cualquiera.
892,ask anyone,Preguntadle a cualquiera.
893,ask anyone,Pregúntele a cualquiera.
894,ask anyone,Pregúntenle a cualquiera.
895,ask around,Pregunta por aquí.
896,ask around,Pregunta en los alrededores.
897,careful,¡Ten cuidado!
898,careful,¡Sé cuidadoso!
899,content,Estate contento.
902,patient,Sea paciente.
903,serious,Sé serio.
904,bird sing,Los pájaros cantan.
905,bird sing,Los pájaros están cantando.
906,bring food,Traed comida.
907,bring help,Traed ayuda.
908,bring wine,Trae vino.
914,carry this,Lleva esto.
915,check that,Comprobad eso.
916,check this,Comprueba esto.
917,choose one,Escoge uno.
918,come again,Vuelve otra vez.
919,come alone,Ven solo.
920,come along,Vente.
921,come along,Vénganse.
922,come early,Vení temprano.
923,come early,Ven temprano.
924,come early,Vengan temprano.
925,come early,Venga temprano.
926,come in,¡Pásale!
927,come in,¡Pásele!
928,come in,¡Pásenle!
929,come in,Entre.
930,come in,Pase.
931,come quick,¡Ven rápido!
932,come quick,¡Vení rápido!
933,come me,Ven a mí.
934,come me,Venid a mí.
935,come us,Ven a nosotros.
936,come us,Venid a nosotros.
937,cut out,¡Ya párale!
938,tom go,¿Fue Tom?
939,come in,¡Pásale!
940,come in,¡Pásele!
941,come in,¡Pásenle!
942,come in,Pasa adentro.
943,come in,Entra de una vez.
944,come in,Entra ya.
945,come in,Métete dentro.
946,men cry,¿Los hombres lloran?
963,eat slowly,Come despacio.
964,eat slowly,¡Comé despacio!
965,fire burn,El fuego quema.
966,follow tom,Seguilo a Tomás.
967,follow tom,Síguelo a Tomás.
968,follow tom,Sígalo a Tomás.
969,follow tom,Síganlo a Tomás.
970,follow him,Síguele.
971,follow him,Síguelo.
972,forget tom,Olvidate de Tomás.
973,forget tom,Olvídate de Tomás.
974,forget tom,Olvídese de Tomás.
975,forget him,Olvídenlo.
976,forgive us,Perdónanos.
977,forgive us,Perdónenos.
978,get life,Consíguete una vida.
979,get inside,Entra.
980,get bed,Vete a la cama.
981,give up,Déjalo.
982,go home,Vete a casa.
983,go home,Váyase a casa.
984,go see tom,Ve a ver a Tom.
985,go work,Andá a trabajar.
986,god exist,Dios existe.
987,faith,Ten fe.
988,faith,Tened fe.
989,faith,Tengan fe.
990,faith,Confíen.
991,eat out,Él salió a comer.
992,cough,Tosió.
993,give in,Él se rindió.
994,give up,Se rindió.
995,give up,Lo dejó.
996,give up,Cedió.
997,give up,Tiró la toalla.
998,hang up,Descolgó.
999,hang up,Él cogió el teléfono.
1007,laugh,Él se reía.
1008,make it,Lo hizo él.
1009,make it,Lo logró.
1010,make it,Lo hizo.
1011,hes break,Está sin blanca.
1012,hes break,Está arruinado.
1013,hes cruel,Él es cruel.
1014,hes lie,Él miente.
1015,hes lie,Él está mintiendo.
1016,hes smart,Es inteligente.
1017,hes smart,Él es inteligente.
1022,hey relax,"Hey, cálmate."
1023,hold still,Quieto.
1024,hold still,Mantente quieto.
1027,lovely,¡Qué bonito!
1028,lovely,¡Encantador!
1029,lovely,¡Es una preciosidad!
1030,tragic,¡Qué trágico!
1031,hows work,¿Qué tal el trabajo?
1032,hows work,¿Cómo van las cosas en el trabajo?
1033,hurry home,"Rápido, a casa."
1034,hurry home,"Corre, vete a casa."
1035,admit it,Lo admito.
1039,happy,¡Soy feliz!
1040,happy,¡Estoy feliz!
1041,happy,Yo estoy contento.
1042,human,Yo soy humano.
1043,ready,Estoy listo.
1045,break it,Yo lo rompí.
1051,chuckle,Solté una risita.
1052,disagree,No estoy de acuerdo.
1053,doubt it,Lo dudo.
1054,eat here,Como aquí.
1055,eat here,Yo como aquí.
1056,eat meat,Yo como carne.
1057,envy tom,Envidio a Tom.
1058,envy him,Lo envidio.
1059,feel bad,Me siento mal.
1060,feel old,Me siento viejo.
1061,felt bad,Me sentía mal.
1062,find it,Lo encontré.
1063,get lose,Me perdí.
1064,get sick,Me puse enfermo.
1065,hate tom,Odio a Tom.
1066,hate you,Te detesto.
1070,hear you,Te oigo.
1071,help him,Le ayudo.
1072,know tom,Conocí a Tom.
1073,know tom,Conozco a Tom.
1074,know her,La conozco.
1075,know him,Lo conozco.
1076,know now,Ahora sé.
1077,like tom,Me agrada Tom.
1078,like art,Me gusta el arte.
1079,like him,Me gusta él.
1080,like him,Él me gusta.
1081,like tea,Me gusta el té.
1082,like you,Me agradas.
1083,like it,Me gustó.
1084,love tom,Lo amo a Tomás.
1085,love him,Yo lo amo.
1086,love him,Lo amo.
1087,love you,Te quiero.
1088,love you,Te amo.
1089,love you,¡Te amo!
1090,love you,Os amo.
1091,love it,Me encantó.
1092,miss tom,Echo de menos a Tom.
1093,miss him,Le echo de menos.
1094,miss him,Lo extraño.
1095,miss you,Te echo de menos.
1096,must run,Tengo que correr.
1097,need tom,Necesito a Tom.
1098,need ice,Necesito hielo.
1099,promise,Prometí.
1100,run home,Me fui corriendo a casa.
1101,run home,Me apresuré a ir a casa.
1102,remember,Me acuerdo.
1103,remember,Yo me acuerdo.
1104,remember,Yo recuerdo.
1105,resign,Renuncié.
1106,say yes,Dije que sí.
1107,say yes,Yo decía que sí.
1108,sit down,Me senté.
1109,sit down,Me sentaba.
1110,saw that,Lo vi.
1111,saw that,Vi eso.
1112,saw that,Veía eso.
1113,scream,Grité.
1114,scream,Yo grité.
1115,see them,Los veo.
1116,see them,Las veo.
1117,shoot tom,Disparé a Tom.
1118,survive,Sobreviví.
1119,think so,Creo que sí.
1120,think so,Eso creo.
1121,throw up,Vomité.
1122,tell tom,Se lo dije a Tom.
1123,tell tom,Se lo he dicho a Tom.
1124,use this,Uso esto.
1125,use this,Utilizo esto.
1126,want tom,Quiero a Tom.
1127,want one,¡Quiero uno!
1128,want one,¡Quiero una!
1129,want one,Quiero uno.
1130,want one,Yo quiero uno.
1134,work out,Yo hago ejercicio.
1135,write it,Yo lo escribí.
1136,id buy it,Yo lo compraría.
1137,ill ok,Estaré bien.
1138,ill it,Lo haré yo.
1139,ill it,Lo haré.
1140,ill go in,Entraré.
1141,ill go in,Voy a entrar.
1142,im french,Soy francés.
1143,im hero,Soy un héroe.
1144,im liar,Soy un mentiroso.
1145,im twin,Soy gemelo.
1146,im better,Yo soy mejor.
1147,im bush,Estoy agotado.
1148,im buy,Estoy comprando.
1149,im clumsy,Soy torpe.
1150,im come,Ahí voy.
1151,im eat,Estoy comiendo.
1152,im faster,Yo soy más rápido.
1153,im greedy,Soy codicioso.
1154,im hide,Yo estoy escondido.
1155,im hungry,Ya tengo hambre.
1156,im hungry,Me pica el bagre.
1157,im hungry,Me pica el bagre.
1158,im immune,Soy inmune.
1159,im move,Me estoy moviendo.
1160,im move,Me mudaré.
1161,im normal,Soy normal.
1162,im scar,Estoy asustado.
1163,im single,Estoy soltero.
1164,im single,Estoy soltera.
1165,im single,Soy soltero.
1166,im skinny,Estoy flacucho.
1167,im sleepy,¡Tengo sueño!
1168,im sleepy,Tengo sueño.
1169,im sleepy,Tengo sueño.
1170,im fat,Estoy tan gordo.
1171,im fat,Estoy tan gorda.
1172,im try,Lo estoy intentando.
1173,im try,Me estoy esforzando.
1174,im twelve,Tengo doce años.
1175,im twelve,Tengo doce.
1176,ive eat,He comido.
1177,ignore tom,Ignora a Tom.
1178,ignore him,No le hagas caso.
1179,tom big,¿Es grande Tom?
1180,tom fat,¿Está gordo Tom?
1181,tom fun,¿Tom es divertido?
1182,tom hot,¿Tiene calor Tom?
1183,tom ill,¿Tom está enfermo?
1184,tom mad,¿Está loco Tom?
1185,tom out,¿Está fuera Tom?
1205,happen,Eso pasa.
1209,alive,Está vivo.
1210,empty,Está vacío.
1211,great,Es estupendo.
1212,great,Es grandioso.
1213,green,Es verde.
1214,green,Está verde.
1215,magic,Es magia.
1217,night,Es de noche.
1218,night,Ha anochecido.
1220,ready,Está listo.
1221,right,Vale.
1222,right,Está bien.
1223,right,Es correcto.
1224,there,Está ahí.
1225,white,Es blanco.
1226,windy,Hace viento.
1227,yours,Es suyo.
1228,yours,Es tuyo.
1229,jesus weep,Jesús lloró.
1231,keep up,¡Continúa!
1232,keep up,¡Continúe!
1233,keep note,Toma apuntes.
1234,keep note,Tomad apuntes.
1235,keep note,Tomen notas.
1236,keep quiet,¡Quédate tranquilo!
1237,keep quiet,¡Guarden silencio!
1238,keep still,Mantente quieto.
1239,keep still,Mantenete quieto.
1240,keep still,Manténgase quieto.
1241,keep still,Manténganse quietos.
1242,leave town,Abandona la ciudad.
1243,leave town,Deja la ciudad.
1244,leave town,Sal de la ciudad.
1245,let tom go,Deja ir a Tom.
1246,let tom in,Dejar entrar a Tom.
1247,let go,¡Déjale irse!
1248,let go,Deja que se vaya.
1249,let in,Déjalo entrar.
1250,let in,Dejalo entrar.
1251,let in,Déjelo entrar.
1252,let in,Déjenlo entrar.
1253,let in,Dejadlo entrar.
1254,let out,¡Déjame salir!
1255,let out,¡Dejadme salir!
1256,let pay,Deja que pague yo.
1257,let see,Déjame ver.
1258,let see,Déjeme ver.
1259,let see,A ver.
1260,let chat,Charlemos.
1261,let chat,Vamos a charlar.
1262,let kiss,Besémonos.
1263,let play,Juguemos.
1264,let quit,Desistamos.
